id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,auc,logloss
openml.org/t/7592,adult,GAMA,0,0.931506,local,20.1.0,,stable,2020-06-25T00:31:18,2537.1,50,56351488,,0.876356,0.931506,0.272231
openml.org/t/7592,adult,GAMA,1,0.923526,local,20.1.0,,stable,2020-06-25T00:32:56,2541.9,50,668135033,,0.872876,0.923526,0.284331
openml.org/t/7592,adult,GAMA,2,0.930415,local,20.1.0,,stable,2020-06-25T00:34:32,2540.5,50,3736296948,,0.874079,0.930415,0.27399
openml.org/t/7592,adult,GAMA,3,0.926716,local,20.1.0,,stable,2020-06-25T00:34:45,2537.6,50,2218424059,,0.868755,0.926716,0.279913
openml.org/t/7592,adult,GAMA,4,0.926902,local,20.1.0,,stable,2020-06-25T00:35:33,2541.0,50,1463538766,,0.874079,0.926902,0.279204
openml.org/t/7592,adult,GAMA,5,0.92399,local,20.1.0,,stable,2020-06-25T00:36:19,2541.0,50,4223781838,,0.870803,0.92399,0.283072
openml.org/t/7592,adult,GAMA,6,0.930957,local,20.1.0,,stable,2020-06-25T00:40:51,2540.5,50,1003411290,,0.870803,0.930957,0.273774
openml.org/t/7592,adult,GAMA,7,0.930406,local,20.1.0,,stable,2020-06-25T00:40:19,2540.2,50,2907153270,,0.875307,0.930406,0.275011
openml.org/t/7592,adult,GAMA,8,0.93729,local,20.1.0,,stable,2020-06-25T00:40:48,2542.6,50,1392760795,,0.878993,0.93729,0.263959
openml.org/t/7592,adult,GAMA,9,0.932511,local,20.1.0,,stable,2020-06-25T00:40:54,2540.4,50,3476660232,,0.877764,0.932511,0.269479
openml.org/t/34539,Amazon_employee_access,GAMA,0,0.876248,local,20.1.0,,stable,2020-06-25T00:41:02,2544.5,50,1541500456,,0.946292,0.876248,0.158195
openml.org/t/34539,Amazon_employee_access,GAMA,1,0.866191,local,20.1.0,,stable,2020-06-25T00:41:17,2545.4,50,859839765,,0.947208,0.866191,0.153103
openml.org/t/34539,Amazon_employee_access,GAMA,2,0.862007,local,20.1.0,,stable,2020-06-25T00:41:27,2544.3,50,3173416333,,0.945682,0.862007,0.155586
openml.org/t/34539,Amazon_employee_access,GAMA,3,0.873172,local,20.1.0,,stable,2020-06-25T00:43:39,2544.3,50,4138790824,,0.948428,0.873172,0.157879
openml.org/t/34539,Amazon_employee_access,GAMA,4,0.864149,local,20.1.0,,stable,2020-06-25T00:48:57,2544.6,50,3086614735,,0.95087,0.864149,0.157811
openml.org/t/34539,Amazon_employee_access,GAMA,5,0.867156,local,20.1.0,,stable,2020-06-25T00:53:53,2545.9,50,2628173890,,0.946597,0.867156,0.152942
openml.org/t/34539,Amazon_employee_access,GAMA,6,0.850974,local,20.1.0,,stable,2020-06-25T00:53:55,2545.3,50,1050695717,,0.946903,0.850974,0.156165
openml.org/t/34539,Amazon_employee_access,GAMA,7,0.85983,local,20.1.0,,stable,2020-06-25T00:53:56,2544.4,50,3795802662,,0.947208,0.85983,0.163049
openml.org/t/34539,Amazon_employee_access,GAMA,8,0.892589,local,20.1.0,,stable,2020-06-25T00:54:20,2544.6,50,35937626,,0.95087,0.892589,0.14626
openml.org/t/34539,Amazon_employee_access,GAMA,9,0.887207,local,20.1.0,,stable,2020-06-25T00:55:22,2545.2,50,3826818938,,0.950549,0.887207,0.149544
openml.org/t/168868,APSFailure,GAMA,0,0.990893,local,20.1.0,,stable,2020-06-25T00:56:51,2542.0,50,1387176432,,0.993421,0.990893,0.0826511
openml.org/t/168868,APSFailure,GAMA,1,0.990772,local,20.1.0,,stable,2020-06-25T00:56:46,2544.5,50,2985350595,,0.989737,0.990772,0.0285513
openml.org/t/168868,APSFailure,GAMA,2,0.99498,local,20.1.0,,stable,2020-06-25T00:57:00,2543.5,50,725614666,,0.993158,0.99498,0.0303842
openml.org/t/168868,APSFailure,GAMA,3,0.986899,local,20.1.0,,stable,2020-06-25T00:57:11,2543.3,50,927860578,,0.991184,0.986899,0.0258764
openml.org/t/168868,APSFailure,GAMA,4,0.990907,local,20.1.0,,stable,2020-06-25T00:57:20,2542.9,50,2866725912,,0.993158,0.990907,0.0522857
openml.org/t/168868,APSFailure,GAMA,5,0.991259,local,20.1.0,,stable,2020-06-25T00:57:35,2543.0,50,4213340207,,0.991974,0.991259,0.0508572
openml.org/t/168868,APSFailure,GAMA,6,0.99196,local,20.1.0,,stable,2020-06-25T00:58:35,2548.0,50,1332144828,,0.992895,0.99196,0.0387228
openml.org/t/168868,APSFailure,GAMA,7,0.994596,local,20.1.0,,stable,2020-06-25T00:58:51,2552.9,50,2853534672,,0.991842,0.994596,0.0281781
openml.org/t/168868,APSFailure,GAMA,8,0.990955,local,20.1.0,,stable,2020-06-25T00:58:57,2542.6,50,489907718,,0.991842,0.990955,0.0266194
